iter	Passed	Remaining
141	202	1226
142	205	1228
143	206	1227
144	207	1225
145	209	1223
146	210	1219
147	211	1216
148	212	1213
149	215	1222
150	217	1221
151	219	1222
152	220	1220
153	222	1220
154	223	1219
155	224	1216
156	225	1213
157	227	1210
158	229	1214
159	232	1223
160	234	1222
161	235	1219
162	237	1217
163	238	1215
164	239	1213
165	241	1211
166	242	1209
167	244	1209
168	246	1211
169	247	1210
170	249	1208
171	250	1207
172	252	1205
173	253	1203
174	254	1201
175	255	1198
176	258	1200
177	261	1208
178	263	1206
179	264	1204
180	265	1202
181	267	1200
182	268	1198
183	269	1195
184	270	1192
185	272	1191
186	273	1186
187	274	1183
188	275	1183
189	277	1181
190	278	1178
191	279	1176
192	280	1173
193	281	1170
194	283	1168
195	284	1166
196	285	1164
197	287	1166
198	290	1168
199	292	1169
200	294	1169
201	295	1169
202	297	1166
203	298	1164
204	299	1161
205	303	1171
206	305	1171
207	307	1169
208	308	1167
209	309	1165
210	311	1163
211	312	1160
212	313	1158
213	314	1155
214	316	1155
215	318	1155
216	320	1155
217	321	1154
218	323	1152
219	324	1150
220	325	1148
221	326	1145
222	328	1143
223	329	1141
224	331	1140
225	332	1140
226	334	1138
227	335	1136
228	337	1135
229	339	1135
230	340	1133
231	341	1131
232	342	1128
233	344	1126
234	347	1130
235	349	1129
236	350	1128
237	351	1126
238	353	1124
239	354	1123
240	356	1121
241	357	1118
242	358	1116
243	360	1115
244	361	1114
245	363	1114
246	365	1113
247	366	1111
248	367	1109
249	369	1107
250	370	1105
251	371	1103
252	373	1101
253	374	1101
254	376	1100
255	378	1099
256	379	1098
257	381	1096
258	382	1094
259	383	1092
260	384	1089
261	386	1087
262	387	1085
263	391	1090
264	393	1091
265	394	1089
266	396	1087
267	399	1090
268	400	1089
269	402	1087
270	404	1089
271	407	1091
272	410	1092
273	412	1093
274	414	1093
275	416	1092
276	418	1092
277	421	1093
278	423	1094
279	425	1093
280	427	1092
281	428	1090
282	429	1087
283	430	1085
284	431	1083
285	435	1087
286	437	1087
287	439	1087
288	441	1086
289	443	1086
290	445	1084
291	446	1082
292	449	1084
293	453	1089
294	455	1089
295	457	1087
296	458	1085
297	460	1084
298	463	1085
299	465	1086
300	467	1086
301	469	1085
302	471	1083
303	472	1081
304	473	1079
305	475	1077
306	477	1076
307	479	1078
308	481	1077
309	482	1074
310	484	1073
311	486	1072
312	487	1070
313	489	1068
314	490	1066
315	492	1066
316	495	1067
317	497	1066
318	498	1064
319	499	1062
320	501	1059
321	502	1058
322	504	1057
323	506	1057
324	509	1058
325	511	1057
326	513	1055
327	514	1053
328	515	1051
329	516	1049
330	517	1046
331	519	1044
332	523	1048
333	525	1047
334	526	1046
335	528	1043
336	529	1042
337	531	1040
338	532	1037
339	533	1035
340	535	1035
341	538	1036
342	540	1035
343	542	1033
344	543	1032
345	545	1030
346	546	1028
347	548	1027
348	551	1028
349	553	1028
350	555	1027
351	557	1025
352	558	1023
353	559	1021
354	561	1020
355	562	1018
356	567	1022
357	569	1020
358	570	1019
359	572	1017
360	573	1015
361	575	1014
362	577	1013
363	580	1013
364	583	1014
365	585	1013
366	586	1011
367	588	1010
368	590	1009
369	593	1010
370	596	1011
371	598	1010
372	600	1009
373	603	1010
374	605	1008
375	606	1006
376	613	1014
377	615	1012
378	616	1010
379	619	1010
380	621	1009
381	622	1007
382	624	1006
383	627	1007
384	629	1006
385	632	1006
386	634	1004
387	635	1003
388	637	1002
389	641	1003
390	643	1002
391	646	1002
392	648	1001
393	649	999
394	651	998
395	656	1002
396	658	1000
397	661	999
398	662	998
399	664	996
400	665	993
401	666	991
402	671	994
403	674	994
404	676	993
405	677	991
406	679	989
407	681	988
408	684	989
409	687	989
410	689	987
411	691	987
412	693	985
413	694	983
414	696	981
415	702	985
416	704	984
417	705	982
418	707	981
419	708	979
420	710	976
421	711	974
422	713	973
423	716	973
424	718	971
425	719	969
426	720	967
427	722	965
428	723	963
429	725	961
430	726	959
431	729	959
432	731	958
433	733	957
434	735	955
435	736	953
436	738	950
437	739	948
438	740	946
439	742	945
440	745	944
441	747	943
442	749	941
443	750	939
444	751	937
445	753	935
446	754	933
447	756	932
448	760	933
449	762	931
450	764	930
451	765	928
452	767	926
453	769	925
454	772	924
455	775	924
456	777	923
457	779	921
458	780	920
459	782	918
460	783	916
461	786	916
462	789	915
463	790	913
464	792	911
465	794	910
466	795	908
467	797	906
468	798	904
469	800	902
470	802	900
471	803	899
472	805	897
473	806	895
474	808	893
475	809	890
476	810	888
477	812	886
478	813	884
479	814	882
480	816	881
481	818	879
482	819	877
483	820	874
484	821	872
485	823	870
486	824	869
487	826	866
488	827	864
489	828	862
490	831	861
491	832	859
492	833	857
493	834	854
494	835	852
495	837	851
496	839	849
497	840	847
498	841	844
499	842	842
500	844	840
501	845	838
502	846	836
503	848	834
504	849	832
505	850	830
506	851	827
507	852	825
508	853	823
509	854	821
510	855	818
511	856	816
512	857	814
513	858	812
514	860	809
515	861	807
516	862	805
517	863	803
518	864	801
519	866	799
520	867	797
521	868	794
522	869	792
523	870	790
524	871	788
525	873	787
526	874	784
527	875	782
528	876	780
529	877	778
530	878	776
531	879	774
532	881	771
533	881	769
534	882	767
535	884	765
536	885	763
537	886	760
538	887	759
539	889	757
540	890	755
541	891	753
542	892	751
543	893	748
544	894	746
545	895	744
546	896	742
547	897	740
548	898	738
549	900	736
550	901	734
551	902	732
552	903	730
553	910	732
554	912	731
555	914	730
556	921	732
557	923	731
558	925	729
559	928	729
560	930	727
561	932	726
562	935	725
563	936	724
564	938	722
565	940	721
566	941	719
567	942	717
568	944	715
569	945	713
570	946	711
571	948	709
572	950	708
573	951	706
574	952	704
575	955	703
576	956	701
577	958	699
578	959	697
579	960	695
580	961	693
581	963	692
582	965	690
583	966	688
584	968	686
585	969	684
586	970	682
587	971	680
588	973	679
589	974	676
590	975	674
591	976	672
592	977	670
593	978	669
594	980	667
595	981	665
596	982	663
597	983	661
598	984	659
599	986	657
600	987	655
601	988	653
602	989	651
603	990	649
604	991	647
605	993	645
606	994	643
607	995	641
608	996	639
609	997	637
610	998	635
611	999	633
612	1000	631
613	1001	629
614	1003	627
615	1004	625
616	1005	624
617	1006	622
618	1009	621
619	1010	619
620	1011	617
621	1012	615
622	1013	613
623	1014	611
624	1015	609
625	1016	607
626	1017	605
627	1018	603
628	1019	601
629	1020	599
630	1021	597
631	1022	595
632	1024	593
633	1025	591
634	1026	589
635	1027	587
636	1028	585
637	1029	583
638	1030	582
639	1031	580
640	1032	578
641	1033	576
642	1035	574
643	1036	572
644	1037	571
645	1039	569
646	1040	567
647	1041	565
648	1043	564
649	1044	562
650	1045	560
651	1046	558
652	1047	556
653	1048	554
654	1049	552
655	1050	550
656	1052	549
657	1053	547
658	1055	545
659	1056	544
660	1057	542
661	1058	540
662	1059	538
663	1060	536
664	1061	534
665	1062	532
666	1063	531
667	1064	529
668	1065	527
669	1067	525
670	1069	524
671	1070	522
672	1071	520
673	1072	518
674	1074	517
675	1075	515
676	1076	513
677	1077	511
678	1078	509
679	1079	508
680	1080	506
681	1082	504
682	1083	503
683	1085	501
684	1086	499
685	1088	498
686	1089	496
687	1090	494
688	1091	492
689	1092	490
690	1093	488
691	1094	487
692	1096	485
693	1098	484
694	1099	482
695	1100	480
696	1101	478
697	1102	477
698	1103	475
699	1105	473
700	1106	471
701	1107	470
702	1108	468
703	1109	466
704	1111	465
705	1113	463
706	1114	462
707	1115	460
708	1116	458
709	1118	456
710	1119	454
711	1120	453
712	1121	451
713	1122	449
714	1124	448
715	1126	446
716	1127	445
717	1128	443
718	1129	441
719	1130	439
720	1132	438
721	1133	436
722	1134	434
723	1135	432
724	1137	431
725	1138	429
726	1139	427
727	1140	426
728	1142	424
729	1143	422
730	1144	421
731	1145	419
732	1146	417
733	1147	415
734	1148	414
735	1149	412
736	1151	410
737	1152	409
738	1153	407
739	1154	405
740	1156	404
741	1157	402
742	1158	400
743	1159	399
744	1160	397
745	1161	395
746	1162	393
747	1163	392
748	1164	390
749	1165	388
750	1166	386
751	1167	385
752	1169	383
753	1170	381
754	1172	380
755	1174	378
756	1175	377
757	1176	375
758	1177	373
759	1178	372
760	1179	370
761	1180	368
762	1181	367
763	1183	365
764	1183	363
765	1187	362
766	1188	361
767	1190	359
768	1191	357
769	1192	356
770	1193	354
771	1194	352
772	1195	351
773	1196	349
774	1197	347
775	1199	346
776	1201	344
777	1203	343
778	1205	341
779	1206	340
780	1207	338
781	1208	336
782	1210	335
783	1211	333
784	1212	332
785	1214	330
786	1216	329
787	1217	327
788	1219	326
789	1221	324
790	1222	322
791	1223	321
792	1224	319
793	1225	317
794	1226	316
795	1228	314
796	1231	313
797	1232	312
798	1234	310
799	1235	308
800	1236	307
801	1237	305
802	1238	303
803	1239	302
804	1240	300
805	1241	298
806	1242	297
807	1243	295
808	1245	294
809	1246	292
810	1248	290
811	1249	289
812	1250	287
813	1251	285
814	1252	284
815	1253	282
816	1255	281
817	1256	279
818	1257	277
819	1259	276
820	1260	274
821	1262	273
822	1263	271
823	1264	270
824	1265	268
825	1267	266
826	1268	265
827	1269	263
828	1270	261
829	1271	260
830	1272	258
831	1274	257
832	1275	255
833	1277	254
834	1278	252
835	1279	250
836	1281	249
837	1282	247
838	1283	246
839	1284	244
840	1285	243
841	1287	241
842	1288	240
843	1290	238
844	1291	236
845	1292	235
846	1294	233
847	1295	232
848	1296	230
849	1298	229
850	1299	227
851	1301	226
852	1302	224
853	1303	222
854	1304	221
855	1306	219
856	1308	218
857	1309	216
858	1310	215
859	1311	213
860	1312	211
861	1313	210
862	1314	208
863	1316	207
864	1319	205
865	1320	204
866	1321	202
867	1323	201
868	1324	199
869	1325	198
870	1326	196
871	1328	194
872	1329	193
873	1331	191
874	1333	190
875	1337	189
876	1338	187
877	1339	186
878	1340	184
879	1342	183
880	1344	181
881	1345	179
882	1347	178
883	1349	177
884	1351	175
885	1352	174
886	1353	172
887	1354	170
888	1355	169
889	1356	167
890	1357	166
891	1358	164
892	1359	162
893	1362	161
894	1365	160
895	1366	158
896	1367	157
897	1369	155
898	1370	153
899	1371	152
900	1372	150
901	1373	149
902	1374	147
903	1376	146
904	1379	144
905	1380	143
906	1382	141
907	1383	140
908	1384	138
909	1385	137
910	1386	135
911	1388	133
912	1389	132
913	1391	130
914	1394	129
915	1396	128
916	1398	126
917	1400	125
918	1401	123
919	1402	121
920	1403	120
921	1407	119
922	1409	117
923	1411	116
924	1412	114
925	1414	113
926	1415	111
927	1416	109
928	1417	108
929	1419	106
930	1420	105
931	1422	103
932	1424	102
933	1425	100
934	1427	99
935	1428	97
936	1428	96
937	1429	94
938	1431	92
939	1432	91
940	1434	89
941	1436	88
942	1438	86
943	1439	85
944	1441	83
945	1442	82
946	1443	80
947	1444	79
948	1445	77
949	1447	76
950	1448	74
951	1450	73
952	1451	71
953	1452	70
954	1454	68
955	1456	67
956	1457	65
957	1459	63
958	1460	62
959	1461	60
960	1462	59
961	1465	57
962	1467	56
963	1469	54
964	1470	53
965	1471	51
966	1472	50
967	1473	48
968	1474	47
969	1476	45
970	1477	44
971	1478	42
972	1480	41
973	1482	39
974	1483	38
975	1484	36
976	1486	34
977	1487	33
978	1488	31
979	1489	30
980	1491	28
981	1492	27
982	1494	25
983	1496	24
984	1497	22
985	1498	21
986	1500	19
987	1502	18
988	1503	16
989	1504	15
990	1505	13
991	1506	12
992	1507	10
993	1509	9
994	1510	7
995	1512	6
996	1513	4
997	1514	3
998	1516	1
999	1517	0
